141,24,f,193.6,2016-05-01 03:10:50.107161+00,11
142,25,f,197.3,2016-05-01 03:10:50.119849+00,11
143,26,f,201.3,2016-05-01 03:10:50.1343+00,11
144,27,f,205.5,2016-05-01 03:10:50.146936+00,11
145,28,f,208.8,2016-05-01 03:10:50.159929+00,11
146,29,f,212.8,2016-05-01 03:10:50.172182+00,11
147,30,t,215.7,2016-05-01 03:10:50.184331+00,11
148,31,f,225.9,2016-05-01 03:10:50.196558+00,11
149,32,f,229.1,2016-05-01 03:10:50.209218+00,11
150,33,f,233.8,2016-05-01 03:10:50.221862+00,11
151,34,f,235.6,2016-05-01 03:10:50.236192+00,11
152,35,f,241.6,2016-05-01 03:10:50.248417+00,11
153,36,f,244.6,2016-05-01 03:10:50.261736+00,11
154,37,f,248.4,2016-05-01 03:10:50.274896+00,11
155,38,f,250.4,2016-05-01 03:10:50.288248+00,11
156,1,f,14.9,2016-05-01 03:15:15.690985+00,12
157,2,f,20.3,2016-05-01 03:15:15.715648+00,12
158,3,f,26.6,2016-05-01 03:15:15.729264+00,12
159,4,t,32.1,2016-05-01 03:15:15.742199+00,12
160,5,f,37.8,2016-05-01 03:15:15.754767+00,12
161,6,f,43.8,2016-05-01 03:15:15.76778+00,12
162,7,t,48.9,2016-05-01 03:15:15.7807+00,12
163,8,f,59.2,2016-05-01 03:15:15.794119+00,12
164,9,f,65.4,2016-05-01 03:15:15.807626+00,12
165,10,f,71.0,2016-05-01 03:15:15.820885+00,12
166,11,t,78.9,2016-05-01 03:15:15.833905+00,12
167,12,f,82.8,2016-05-01 03:15:15.849221+00,12
168,13,f,89.1,2016-05-01 03:15:15.86324+00,12
169,14,t,96.8,2016-05-01 03:15:15.876614+00,12
170,15,f,108.6,2016-05-01 03:15:15.892368+00,12
171,16,f,118.3,2016-05-01 03:15:15.907122+00,12
172,17,f,124.6,2016-05-01 03:15:15.92185+00,12
173,18,f,130.3,2016-05-01 03:15:15.936859+00,12
174,19,t,137.6,2016-05-01 03:15:15.953364+00,12
175,20,f,141.6,2016-05-01 03:15:15.972079+00,12
176,21,f,147.6,2016-05-01 03:15:15.989036+00,12
177,22,f,155.1,2016-05-01 03:15:16.008012+00,12
178,1,f,82.5,2016-05-01 03:20:29.690341+00,13
179,2,f,83.9,2016-05-01 03:20:29.720213+00,13
180,3,f,86.2,2016-05-01 03:20:29.736655+00,13
181,4,t,88.2,2016-05-01 03:20:29.754553+00,13
182,5,f,91.4,2016-05-01 03:20:29.783462+00,13
183,6,f,92.2,2016-05-01 03:20:29.801744+00,13
184,7,t,94.7,2016-05-01 03:20:29.820389+00,13
185,8,f,99.7,2016-05-01 03:20:29.839276+00,13
186,9,f,103.9,2016-05-01 03:20:29.852465+00,13
187,10,t,108.0,2016-05-01 03:20:29.867332+00,13
188,11,f,116.5,2016-05-01 03:20:29.888433+00,13
189,12,f,119.7,2016-05-01 03:20:29.904836+00,13
190,13,f,124.9,2016-05-01 03:20:29.923653+00,13
191,14,f,128.0,2016-05-01 03:20:29.939525+00,13
192,15,t,130.0,2016-05-01 03:20:29.959596+00,13
193,16,f,133.2,2016-05-01 03:20:29.973373+00,13
194,17,f,137.1,2016-05-01 03:20:29.989241+00,13
195,18,t,140.9,2016-05-01 03:20:30.005356+00,13
196,19,f,148.8,2016-05-01 03:20:30.019199+00,13
197,20,f,151.5,2016-05-01 03:20:30.038412+00,13
198,21,f,153.5,2016-05-01 03:20:30.052646+00,13
199,22,f,157.5,2016-05-01 03:20:30.0694+00,13
200,23,f,159.6,2016-05-01 03:20:30.086575+00,13
201,24,f,161.6,2016-05-01 03:20:30.103681+00,13
202,25,f,164.9,2016-05-01 03:20:30.117688+00,13
203,26,t,173.1,2016-05-01 03:20:30.131794+00,13
204,27,t,183.1,2016-05-01 03:20:30.146602+00,13
205,28,f,196.9,2016-05-01 03:20:30.161119+00,13
206,29,f,199.3,2016-05-01 03:20:30.175522+00,13
207,30,f,201.5,2016-05-01 03:20:30.190402+00,13
208,31,f,205.3,2016-05-01 03:20:30.20614+00,13
209,32,t,207.2,2016-05-01 03:20:30.221007+00,13
210,33,t,210.4,2016-05-01 03:20:30.234994+00,13
211,34,f,213.1,2016-05-01 03:20:30.247365+00,13
212,35,f,215.7,2016-05-01 03:20:30.259662+00,13
213,36,f,217.5,2016-05-01 03:20:30.272519+00,13
214,37,f,221.4,2016-05-01 03:20:30.28644+00,13
215,38,f,223.4,2016-05-01 03:20:30.301014+00,13
216,39,f,225.6,2016-05-01 03:20:30.317177+00,13
217,40,f,228.7,2016-05-01 03:20:30.330264+00,13
218,41,f,238.4,2016-05-01 03:20:30.343747+00,13
219,1,f,10.6,2016-05-01 03:25:56.067914+00,14
220,2,f,14.4,2016-05-01 03:25:56.091169+00,14
221,3,f,17.8,2016-05-01 03:25:56.104766+00,14
222,4,t,21.3,2016-05-01 03:25:56.117761+00,14
223,5,f,27.1,2016-05-01 03:25:56.135649+00,14
224,6,f,30.9,2016-05-01 03:25:56.150952+00,14
225,7,f,34.1,2016-05-01 03:25:56.166154+00,14
226,8,t,37.8,2016-05-01 03:25:56.18175+00,14
227,9,f,43.7,2016-05-01 03:25:56.195763+00,14
228,10,f,47.4,2016-05-01 03:25:56.208925+00,14
229,11,f,51.1,2016-05-01 03:25:56.22257+00,14
230,12,t,54.6,2016-05-01 03:25:56.235976+00,14
231,13,t,60.5,2016-05-01 03:25:56.248965+00,14
232,14,f,63.9,2016-05-01 03:25:56.261746+00,14
233,15,f,67.4,2016-05-01 03:25:56.274208+00,14
234,16,f,71.2,2016-05-01 03:25:56.287198+00,14
235,17,t,75.2,2016-05-01 03:25:56.30002+00,14
236,18,f,95.5,2016-05-01 03:25:56.313476+00,14
237,19,f,99.0,2016-05-01 03:25:56.327243+00,14
238,20,f,102.7,2016-05-01 03:25:56.340818+00,14
239,21,t,106.4,2016-05-01 03:25:56.35495+00,14
240,22,f,111.9,2016-05-01 03:25:56.369472+00,14
241,23,f,115.7,2016-05-01 03:25:56.383839+00,14
